X,Original Data,Filtered Data,Fitted Data
1.0,19.998,20.01451428571428,0.0
2.0,19.813,19.746942857142855,0.0
3.0,18.624,18.72308571428571,0.0
4.0,18.346,18.751257142857142,0.0
5.0,19.738,19.10945714285714,0.0
6.0,18.831,19.261971428571425,0.0
7.0,18.989,18.85768571428571,0.0
8.0,18.548,18.35222857142857,0.0
9.0,17.376,17.59568571428571,0.0
10.0,17.625,17.872542857142854,0.0
11.0,18.884,18.300542857142855,-2.4523334161490666
12.0,17.854,18.387057142857138,-2.4523334161490666
13.0,18.043,17.5432,-2.4523334161490666
14.0,16.74,17.1864,-2.4523334161490666
15.0,17.065,16.79208571428571,-2.4523334161490666
16.0,16.93,17.127571428571425,-2.4523334161490666
17.0,17.431,17.295399999999997,-2.4523334161490666
18.0,17.359,17.41428571428571,-2.4523334161490666
19.0,17.087,17.06565714285714,-2.4523334161490666
20.0,16.343,16.15562857142857,-2.4523334161490666
21.0,15.104,15.355828571428567,-2.4523334161490666
22.0,15.533,15.687542857142855,-2.4523334161490666
23.0,16.855,16.463114285714283,-2.4523334161490666
24.0,16.492,16.762171428571428,-2.4523334161490666
25.0,16.438,16.200914285714283,-2.4523334161490666
26.0,15.535,15.71405714285714,-2.4523334161490666
27.0,15.391,15.399999999999999,-2.4523334161490666
28.0,15.525,15.4836,-2.4523334161490666
29.0,15.351,15.166628571428568,-2.4523334161490666
30.0,14.766,15.194314285714283,-2.4523334161490666
31.0,15.818,15.507371428571426,-2.4523334161490666
32.0,15.558,15.474085714285714,-2.4523334161490666
33.0,14.661,14.97522857142857,-2.4523334161490666
34.0,14.781,14.441314285714283,-8.89250903571428
35.0,13.906,14.167342857142856,-8.89250903571428
36.0,13.987,13.957257142857141,-8.89250903571428
37.0,13.926,13.538142857142855,-8.89250903571428
38.0,12.972,13.839342857142853,-8.89250903571428
39.0,14.899,13.878485714285713,-8.89250903571428
40.0,13.362,14.143457142857141,-8.89250903571428
41.0,13.922,13.346342857142854,-8.89250903571428
42.0,13.023,13.5552,-8.89250903571428
43.0,13.825,13.465514285714281,-8.89250903571428
44.0,13.279,13.243685714285714,-8.89250903571428
45.0,12.53,12.798028571428569,-8.89250903571428
46.0,13.135,13.09908571428571,-8.89250903571428
47.0,13.524,13.2846,-8.89250903571428
48.0,12.546,12.543599999999998,-8.89250903571428
49.0,11.843,12.341171428571426,-8.89250903571428
50.0,13.085,12.509942857142857,-8.89250903571428
51.0,12.13,12.23962857142857,-8.89250903571428
52.0,11.545,11.95025714285714,-8.89250903571428
53.0,12.618,12.142371428571426,-8.89250903571428
54.0,11.909,12.146257142857142,-8.89250903571428
55.0,11.527,11.307571428571427,-8.89250903571428
56.0,10.813,11.281171428571426,-8.89250903571428
57.0,11.668,11.059342857142855,-8.89250903571428
58.0,10.531,10.991114285714286,-8.89250903571428
59.0,10.942,10.733114285714283,-8.89250903571428
60.0,11.073,11.203114285714284,-8.89250903571428
61.0,11.533,11.428085714285713,-8.89250903571428
62.0,11.413,11.428428571428569,-8.89250903571428
63.0,11.028,11.018314285714284,-8.89250903571428
64.0,10.513,10.534719999999998,-8.89250903571428
65.0,10.116,10.040777142857142,-8.89250903571428
66.0,9.8316,10.062719999999999,-8.89250903571428
67.0,10.532,10.375065714285713,-8.89250903571428
68.0,10.393,10.182108571428572,-8.89250903571428
69.0,9.4213,9.85438857142857,-8.89250903571428
70.0,10.084,9.75346857142857,-8.89250903571428
71.0,9.7955,9.967459999999999,-8.89250903571428
72.0,9.8264,9.718434285714284,-8.89250903571428
73.0,9.4411,9.48707714285714,-8.89250903571428
74.0,9.1636,9.185268571428571,-8.89250903571428
75.0,8.9815,8.909268571428571,-8.89250903571428
76.0,8.6296,8.63578857142857,-8.89250903571428
77.0,8.6854,8.919451428571426,-8.89250903571428
78.0,9.6542,9.284042857142856,-8.89250903571428
79.0,9.3107,9.660842857142857,-8.89250903571428
80.0,9.7481,9.340622857142856,-8.89250903571428
81.0,8.9746,9.450734285714285,-8.89250903571428
82.0,9.7523,9.393894285714284,-8.89250903571428
83.0,9.2884,9.439634285714284,-8.89250903571428
84.0,8.9715,8.879682857142855,-8.89250903571428
85.0,8.4258,8.563997142857142,-8.89250903571428
86.0,8.3467,8.211382857142855,-8.89250903571428
87.0,7.8173,7.787188571428571,-8.89250903571428
88.0,7.4994,7.797059999999998,-8.89250903571428
89.0,8.4061,8.022134285714285,-8.89250903571428
90.0,8.0778,8.435177142857142,-8.89250903571428
91.0,8.5345,8.101951428571427,-8.89250903571428
92.0,7.6268,8.07242857142857,-8.89250903571428
